Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
1,10,19,90,[(genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1), (genotype: 6264706073601720054026765, frequency: 1)],100,000000,0,000000,0,000000
2,10,25,90,[(genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1), (genotype: 6264706073601720054026765, frequency: 1)],103,000000,0,000000,0,000000
3,10,35,90,[(genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1), (genotype: 6264706073601720054026765, frequency: 1)],102,000000,0,000000,0,000000
4,12,41,92,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],87,500000,0,000000,0,333333
5,13,45,90,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],84,461538,0,000000,0,461538
6,13,50,89,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],87,307692,0,000000,0,461538
7,13,54,87,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],90,923077,0,000000,0,461538
8,13,57,87,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],95,307692,0,000000,0,461538
9,14,60,88,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],92,571429,0,000000,0,571429
10,15,62,88,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],90,800000,0,000000,0,666667
11,15,65,85,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],94,466667,0,000000,0,666667
12,15,68,85,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123373014226105, frequency: 1)],98,133333,0,000000,0,666667
13,16,66,86,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123720054026765, frequency: 1)],98,562500,0,000000,0,750000
14,17,66,86,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123720054026765, frequency: 1)],97,705882,0,000000,0,823529
15,17,69,85,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123720054026765, frequency: 1)],100,823529,0,000000,0,823529
16,18,69,84,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123720054026765, frequency: 1)],99,833333,0,000000,0,888889
17,19,70,85,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123720054026765, frequency: 1)],98,368421,0,000000,0,947368
18,19,69,81,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123720054026765, frequency: 1)],103,157895,0,000000,0,947368
19,21,67,84,[(genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1), (genotype: 6310533563123720054026765, frequency: 1)],98,142857,0,000000,1,047619
20,23,66,84,[(genotype: 0533740270025105620341605, frequency: 2), (genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1)],93,478261,0,000000,1,130435
21,24,66,79,[(genotype: 0533740270025105620341605, frequency: 2), (genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1)],92,791667,0,000000,1,166667
22,26,66,81,[(genotype: 0533740270025105620341605, frequency: 2), (genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1)],88,576923,0,000000,1,230769
23,29,65,80,[(genotype: 0533740270025105620341605, frequency: 2), (genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214507444606, frequency: 1)],82,310345,0,000000,1,310345
24,31,60,77,[(genotype: 0533740270025105620341605, frequency: 2), (genotype: 8888708888601388818886888, frequency: 1), (genotype: 6532376003037214514226105, frequency: 1)],80,903226,0,000000,1,354839
25,35,59,78,[(genotype: 0533740270025105620341605, frequency: 3), (genotype: 6264706073601373014226105, frequency: 2), (genotype: 8888708888601388818886888, frequency: 1)],73,914286,0,000000,1,428571
26,41,60,75,[(genotype: 0533740270025105620341605, frequency: 3), (genotype: 6264706073601373014226105, frequency: 2), (genotype: 8888708888601388818886888, frequency: 1)],64,439024,0,000000,1,512195
27,44,59,71,[(genotype: 0533740270025105620341605, frequency: 3), (genotype: 6264706073601720054026765, frequency: 2), (genotype: 6264706073601373014226105, frequency: 2)],61,613636,0,000000,1,545455
28,45,54,66,[(genotype: 0533740270025105620341605, frequency: 3), (genotype: 6264706073601720054026765, frequency: 2), (genotype: 6264706073601373014226105, frequency: 2)],62,600000,0,000000,1,555556
29,51,51,68,[(genotype: 0533740270025105620341605, frequency: 3), (genotype: 6264706073601720054026765, frequency: 2), (genotype: 6264706073601373014226105, frequency: 2)],56,901961,0,000000,1,607843
30,54,46,59,[(genotype: 6264706073601720054026765, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3), (genotype: 6264706073601373014226105, frequency: 2)],55,574074,0,000000,1,629630
31,58,42,61,[(genotype: 6264706073601720054026765, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],53,224138,0,000000,1,655172
32,63,41,59,[(genotype: 6264706073601720054026765, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],49,825397,0,000000,1,682540
33,68,41,61,[(genotype: 6264706073601720054026765, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],46,705882,0,000000,1,705882
34,74,41,59,[(genotype: 6264706073601720054026765, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],43,364865,11,000000,1,756757
35,77,40,54,[(genotype: 6264706073601720054026765, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],42,155844,11,000000,1,792208
36,82,38,53,[(genotype: 6264706073601720054026765, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2), (genotype: 6310533563123373014226105, frequency: 2)],40,121951,11,000000,1,829268
37,84,35,50,[(genotype: 6264706073601720054026765, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2), (genotype: 6310533563123373014226105, frequency: 2)],39,785714,11,000000,1,928571
38,86,28,44,[(genotype: 6532376003037214507444606, frequency: 2), (genotype: 6310533563123373014226105, frequency: 2), (genotype: 6264706073601720054026765, frequency: 2)],39,872093,11,000000,1,953488
39,92,26,49,[(genotype: 2074646776031227520635741, frequency: 3), (genotype: 2074646760444054535522136, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],37,652174,11,555556,1,967391
40,97,23,44,[(genotype: 2074646776031227520635741, frequency: 3), (genotype: 2074646760444054535522136, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],36,103093,11,555556,1,969072
41,101,23,49,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],34,722772,11,909091,2,000000
42,104,21,45,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],33,942308,12,000000,2,048077
43,106,20,38,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],33,396226,12,052632,2,113208
44,112,19,39,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],31,669643,12,818182,2,142857
45,114,19,33,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],31,052632,12,851852,2,175439
46,117,16,31,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],30,401709,12,785714,2,188034
47,120,17,35,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],29,458333,12,969697,2,258333
48,125,17,30,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6310533563123373014226105, frequency: 2)],28,152000,12,891892,2,304000
49,133,16,27,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],26,360902,13,051282,2,315789
50,138,15,30,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],25,282609,13,333333,2,340580
51,138,15,31,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2074646776031227520635741, frequency: 3), (genotype: 6532376003037214507444606, frequency: 2)],25,050725,13,647059,2,369565
52,146,15,33,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2661003245031227520635741, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,445205,14,090909,2,356164
53,151,13,26,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2661003245031227520635741, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],22,523179,14,220339,2,370861
54,154,12,20,[(genotype: 2074646760444054535522136, frequency: 4), (genotype: 2661003245031227520635741, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],21,850649,13,968750,2,428571
55,150,14,28,[(genotype: 2661003245031227520635741, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 2074646760444054535522136, frequency: 3)],22,026667,14,246753,2,546667
56,149,12,22,[(genotype: 2661003245031227520635741, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 2074646760444054535522136, frequency: 3)],22,013423,15,096386,2,483221
57,151,12,25,[(genotype: 2661003245031227520635741, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 2074646760444054535522136, frequency: 3)],21,417219,15,011628,2,509934
58,146,11,22,[(genotype: 4211672626221707711336546, frequency: 3), (genotype: 2661003245031227520635741, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],21,945205,15,020619,2,575342
59,141,13,25,[(genotype: 4211672626221707711336546, frequency: 3), (genotype: 2661003245031227520635741, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],22,326241,15,065421,2,602837
60,142,15,26,[(genotype: 0533740270025105620341605, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 2661003245031227520635741, frequency: 3)],21,788732,15,210526,2,591549
61,140,14,32,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 0533740270025105620341605, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3)],21,942857,14,991935,2,721429
62,143,17,28,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 0533740270025105620341605, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3)],21,027972,14,992248,2,734266
63,139,15,29,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 0533740270025105620341605, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3)],21,546763,14,928571,2,892086
64,134,15,34,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3)],22,111940,14,741497,3,014925
65,130,15,32,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 2074646776031227520635745, frequency: 3), (genotype: 0533740270025105620341605, frequency: 3)],22,600000,14,750000,3,084615
66,125,15,37,[(genotype: 2074646776031227520635741, frequency: 4), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 2074646776031227520635745, frequency: 3)],23,360000,14,809524,3,216000
