Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
1,14,31,211,[(genotype: 7737, frequency: 1), (genotype: 6300, frequency: 1), (genotype: 6263, frequency: 1)],52,214286,0,000000,0,000000
2,14,33,211,[(genotype: 7737, frequency: 1), (genotype: 6300, frequency: 1), (genotype: 6263, frequency: 1)],53,357143,0,000000,0,000000
3,15,35,212,[(genotype: 7737, frequency: 1), (genotype: 6300, frequency: 1), (genotype: 6263, frequency: 1)],50,866667,0,000000,0,133333
4,15,39,211,[(genotype: 7737, frequency: 1), (genotype: 6300, frequency: 1), (genotype: 6263, frequency: 1)],49,866667,0,000000,0,133333
5,15,42,210,[(genotype: 7737, frequency: 1), (genotype: 6300, frequency: 1), (genotype: 6263, frequency: 1)],49,866667,0,000000,0,133333
6,16,43,211,[(genotype: 7737, frequency: 1), (genotype: 6300, frequency: 1), (genotype: 6263, frequency: 1)],48,625000,0,000000,0,250000
7,16,43,209,[(genotype: 7737, frequency: 1), (genotype: 6300, frequency: 1), (genotype: 6263, frequency: 1)],51,375000,0,000000,0,250000
8,16,42,210,[(genotype: 7737, frequency: 1), (genotype: 6300, frequency: 1), (genotype: 6263, frequency: 1)],55,062500,0,000000,0,250000
9,17,43,210,[(genotype: 7737, frequency: 1), (genotype: 7702, frequency: 1), (genotype: 6300, frequency: 1)],53,529412,0,000000,0,352941
10,17,45,208,[(genotype: 7737, frequency: 1), (genotype: 7702, frequency: 1), (genotype: 6300, frequency: 1)],54,294118,0,000000,0,352941
11,17,47,209,[(genotype: 7737, frequency: 1), (genotype: 7702, frequency: 1), (genotype: 6300, frequency: 1)],55,058824,0,000000,0,352941
12,17,50,208,[(genotype: 7737, frequency: 1), (genotype: 7702, frequency: 1), (genotype: 6300, frequency: 1)],54,941176,0,000000,0,352941
13,17,50,208,[(genotype: 7737, frequency: 1), (genotype: 7702, frequency: 1), (genotype: 6300, frequency: 1)],57,470588,0,000000,0,352941
14,18,51,210,[(genotype: 7737, frequency: 1), (genotype: 7702, frequency: 1), (genotype: 6300, frequency: 1)],55,833333,0,000000,0,444444
15,19,54,208,[(genotype: 7737, frequency: 1), (genotype: 7702, frequency: 1), (genotype: 6300, frequency: 1)],52,736842,0,000000,0,526316
