Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
1,10,19,90,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 5242321331325754315151263, frequency: 1)],100,000000,0,000000,0,000000
2,10,27,90,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 5242321331325754315151263, frequency: 1)],101,000000,0,000000,0,000000
3,10,32,90,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 5242321331325754315151263, frequency: 1)],105,000000,0,000000,0,000000
4,10,37,90,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 5242321331325754315151263, frequency: 1)],109,000000,0,000000,0,000000
5,10,44,90,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 5242321331325754315151263, frequency: 1)],111,000000,0,000000,0,000000
6,11,50,91,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 5242321331325754315151263, frequency: 1)],103,636364,0,000000,0,181818
7,11,57,89,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 5242321331325754315151263, frequency: 1)],105,363636,0,000000,0,181818
8,11,60,89,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 5242321331325754315151263, frequency: 1)],110,727273,0,000000,0,181818
9,12,62,90,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 6543245425717424571661342, frequency: 1)],107,250000,0,000000,0,333333
10,12,66,88,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 6543245425717424571661342, frequency: 1)],111,250000,0,000000,0,333333
11,13,71,90,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 6543245425717424571661342, frequency: 1)],105,615385,0,000000,0,461538
12,13,75,87,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 6543245425717424571661342, frequency: 1)],109,230769,0,000000,0,461538
13,13,77,87,[(genotype: 7306303673306010166160211, frequency: 1), (genotype: 6543245425717465431151665, frequency: 1), (genotype: 6543245425717424571661342, frequency: 1)],114,384615,0,000000,0,461538
