1,11,18,91,[(genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1), (genotype: 6524053154600466324475233, frequency: 1)],91,818182,0,000000,0,181818
2,11,26,89,[(genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1), (genotype: 6524053154600466324475233, frequency: 1)],92,636364,0,000000,0,181818
3,11,33,89,[(genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1), (genotype: 6524053154600466324475233, frequency: 1)],94,363636,0,000000,0,181818
4,11,41,90,[(genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1), (genotype: 6524053154600466324475233, frequency: 1)],95,181818,0,000000,0,181818
5,12,49,90,[(genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1), (genotype: 6524053154600466324475233, frequency: 1)],88,000000,0,000000,0,333333
6,13,55,89,[(genotype: 5645417325363257313431445, frequency: 2), (genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1)],82,615385,0,000000,0,461538
7,15,61,91,[(genotype: 5645417325363257313431445, frequency: 2), (genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1)],72,066667,0,000000,0,666667
8,15,63,87,[(genotype: 5645417325363257313431445, frequency: 2), (genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1)],76,400000,0,000000,0,666667
9,15,66,87,[(genotype: 5645417325363257313431445, frequency: 2), (genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1)],80,066667,0,000000,0,666667
10,15,68,86,[(genotype: 5645417325363257313431445, frequency: 2), (genotype: 7172677236422657370315021, frequency: 1), (genotype: 6740140177733257313431445, frequency: 1)],84,400000,0,000000,0,666667
11,16,68,87,[(genotype: 6740140177733257313431445, frequency: 2), (genotype: 5645417325363257313431445, frequency: 2), (genotype: 7172677236422657370315021, frequency: 1)],77,625000,0,000000,0,750000
12,15,69,86,[(genotype: 6740140177733257313431445, frequency: 2), (genotype: 5645417325363257313431445, frequency: 2), (genotype: 7172677236422657370315021, frequency: 1)],86,466667,12,000000,0,800000
13,16,68,87,[(genotype: 6740140177733257313431445, frequency: 2), (genotype: 5645417325363257313431445, frequency: 2), (genotype: 7172677236422657370315021, frequency: 1)],76,250000,12,000000,0,875000
